In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
SYT11		
APOA2		
SELENBP1		
THEM4		
PFDN2		
LHFPL5		
TNNI1		
LOC101748755		
SLC6A17		
PLEKHA6		
SLC26A9		
A2ML4		
SLC4A1		
SRCIN1		
PNMT		
IGFBP4		
RND2		
EEF2		
YJEFN3		
CERS1		
GDF3		
PIT54		
LOC121107875		
LOC107049467		
LOC100859870		
LOC121107843		
LOC121107894		
LOC112531119		
LOC107050521		
LOC121107823		
LOC121107824		
OR14J1L81		
LOC107056266		
LOC121108025		
NR4A1		
GPD1		
ZNF385A		
CS		
DNAJC22		
LOC121106503		
LOC107051274		
LOC121108153		
LOC121108155		
ARHGAP35		
LOC107055444		
FECH		
LOC431653		
CNTFR		
AVDL		
GHR		
CENPK		
CDK7		
DMRT1		
RLN3		
SH3GL2		
ADAMTSL1		
LOC112530674		
SPINK4		
LOX		
LOC100857302		
LOC121108673		
MYBPC2		
LOC107050249		
LOC121108719		
LOC121108737		
LOC121108741		
LOC107051353		
LOC121108762		
LOC121108780		
LOC112530947		
LOC121108868		
LOC112531297		
LOC107051305		
LOC121108923		
NDUFB11		
LOC121108947		
LOC121108960		
CUNH19orf54		
